연번,업체명,업종,전화번호,소지재 지번주소,소재지 도로명 주소,시설종류,오염물질명, 용량(ℓ) ,수량(기),시설형태
1,영진주유소㈜유테크 김해지점,주유소,055-327-8201,경상남도 김해시 내동 495,경상남도 김해시 금관대로 1279 (내동),석유류저장시설,"제1석유류(휘발유) 40,000*1제2석유류(등유) 40,000*1제2석유류(경유) 40,000*1",120000,3,지하
2,예진주유소,주유소,055-335-5192,경상남도 김해시 어방동 351-8,경상남도 김해시 인제로 145 (어방동),석유류저장시설,"휘발유 40,000*2 등유 40,000*1 경유 40,000*1",160000,4,지하
3,고속도로관리공단 진영(상)주유소,주유소,055-342-0878,경상남도 김해시 진영읍 우동리 377-2,경상남도 김해시 진영읍 하계로96번길 44-49,석유류저장시설,"휘발유 30,000*3         20,000*1경유 30,000*2      50,000*2",270000,8,지하
4,고속도로관리공단 진영(하)주유소,주유소,055-343-5415,경상남도 김해시 진영읍 우동리 452,경상남도 김해시 진영읍 하계로96번길 94-2,석유류저장시설,휘발유 30000*2경유 20000*1      30000*1,110000,4,지하
5,상동농협직영주유소,주유소,055-331-8703,경상남도 김해시 상동면 매리 93-3,경상남도 김해시 상동면 동북로 481,석유류저장시설,"휘발유 20,000*1경유 20,000*2등유 20,000*2",100000,5,지하
6,부영주유소,주유소,055-343-6057,경상남도 김해시 진영읍 진영리 319-121,경상남도 김해시 진영읍 진산대로 187,석유류저장시설,"휘발유 50,000*1 경유 24,000*3       50,000*1등유 24,000*1",196000,6,지하
7,해안주유소,주유소,055-323-2200,경상남도 김해시 명법동 202-2,경상남도 김해시 금관대로 820-16 (명법동),석유류저장시설,휘발유 20000*2경유 40000*3,160000,5,지하
8,믿음가득주유소,주유소,055-334-6080,경상남도 김해시 어방동 1116-3외2필지,경상남도 김해시 김해대로 2537 (어방동),석유류저장시설,"제1석유류 20,000*1제1석유류 6,000*1제2석유류 20,000*3제2석유류 50,000*1제2석유류 20,000*1",156000,7,지하
9,송진주유소,주유소,055-343-0052,경상남도 김해시 한림면 신천리 285-2,경상남도 김해시 한림면 김해대로 1567,석유류저장시설,"휘발유20,000*1경유 20,000*2      50,000*1등유 20,000*1",130000,5,지하
10,현대주유소,주유소,055-342-7900,경상남도 김해시 한림면 명동리 61-1,경상남도 김해시 한림면 한림로 131,석유류저장시설,"휘발유 30,000*1경유 30,000*2등유 30,000*1",120000,4,지하
11,단감주유소,주유소,055-345-0051,경상남도 김해시 진영읍 진영리 728,경상남도 김해시 진영읍 진산대로 243 ,석유류저장시설,"휘발유 30,000*1경유 30,000*3       50,000*1등유 30,000*1",200000,5,지하
12,㈜경영에너지 김해지점 구도일주유소,주유소,055-323-4406,경상남도 김해시 부원동 605-17,경상남도 김해시 김해대로 2329 (부원동),석유류저장시설,"휘발유 50,000*2경유 50,000*2",200000,4,지하
13,남광석유판매㈜ 신어주유소,주유소,055-322-2058,경상남도 김해시 어방동1050-9,경상남도 김해시 분성로 569 (어방동),석유류저장시설,"휘발유 30,000*1경유 30,000*3등유 30,000*1",150000,5,지하
14,중앙주유소,주유소,055-331-6121,경상남도 김해시 대동면 주중리 68-1,경상남도 김해시 대동면 대동로 264,석유류저장시설,"휘발유 50,000*1경유 50,000*1      20,000*1등유 20,000*2",160000,5,지하
